prompt,category,response
Hello,greeting,Hi! How are you?
Hey,greeting,Hi! How are you?
Hey there,greeting,Hi! How are you?
Hi there,greeting,Hi! How are you?
whats up,greeting,Hi! How are you?
I am good,feeling good,I'm glad to hear that!
I am feeling good,feeling good,I'm glad to hear that!
Im doing pretty good ,feeling good,I'm glad to hear that!
I feel great today,feeling good,I'm glad to hear that!
I am feeling okay,feeling good,I'm glad to hear that!
prompt,category,response
Hello,greeting,Hi! How are you?
Hey,greeting,Hi! How are you?
Hey there,greeting,Hi! How are you?
Hi there,greeting,Hi! How are you?
whats up,greeting,Hi! How are you?
I am good,feeling good,I'm glad to hear that!
I am feeling good,feeling good,I'm glad to hear that!
I am feeling okay,feeling good,I'm glad to hear that!
I am okay,feeling good,I'm glad to hear that!
I feel good,feeling good,I'm glad to hear that!
I feel okay,feeling tired,I'm glad to hear that!
I feel tired,feeling tired,"I'm sorry to hear that. If you can, I would set aside some time to relax at some point this week. "
I am tired,feeling tired,"I'm sorry to hear that. If you can, I would set aside some time to relax at some point this week. "
im kinda tired today,feeling tired,"I'm sorry to hear that. If you can, I would set aside some time to relax at some point this week. "
I didn’t get much sleep last night,feeling tired,"I'm sorry to hear that. If you can, I would set aside some time to relax at some point this week. "
I have been feeling very tired recently,feeling tired,"I'm sorry to hear that. If you can, I would set aside some time to relax at some point this week. "
I wasn’t able to sleep at all,feeling tired,"I'm sorry to hear that. If you can, I would set aside some time to relax at some point this week. "
Im very stressed out right now,feeling stressed,"I'm sorry to hear that. I'm sure you have a lot going on right now. It can be hard to make time for yourself to unwind and relax, but it is crucial to a healthy balance in life. If you would like, I can help you destress with one of my coping activities. If you're interested, please press the coping activities button on the right side of the screen. I hope you can unwind and feel better soon."
Im so stressed,feeling stressed,"I'm sorry to hear that. I'm sure you have a lot going on right now. It can be hard to make time for yourself to unwind and relax, but it is crucial to a healthy balance in life. If you would like, I can help you destress with one of my coping activities. If you're interested, please press the coping activities button on the right side of the screen. I hope you can unwind and feel better soon."
I don’t have any time for myself,feeling stressed,"I'm sorry to hear that. I'm sure you have a lot going on right now. It can be hard to make time for yourself to unwind and relax, but it is crucial to a healthy balance in life. If you would like, I can help you destress with one of my coping activities. If you're interested, please press the coping activities button on the right side of the screen. I hope you can unwind and feel better soon."
I don’t have time to work on my homework,feeling stressed,"I'm sorry to hear that. I'm sure you have a lot going on right now. It can be hard to make time for yourself to unwind and relax, but it is crucial to a healthy balance in life. If you would like, I can help you destress with one of my coping activities. If you're interested, please press the coping activities button on the right side of the screen. I hope you can unwind and feel better soon."
I have been feeling very stressed recently,feeling stressed,"I'm sorry to hear that. I'm sure you have a lot going on right now. It can be hard to make time for yourself to unwind and relax, but it is crucial to a healthy balance in life. If you would like, I can help you destress with one of my coping activities. If you're interested, please press the coping activities button on the right side of the screen. I hope you can unwind and feel better soon."
I don’t have time to relax,feeling stressed,"I'm sorry to hear that. I'm sure you have a lot going on right now. It can be hard to make time for yourself to unwind and relax, but it is crucial to a healthy balance in life. If you would like, I can help you destress with one of my coping activities. If you're interested, please press the coping activities button on the right side of the screen. I hope you can unwind and feel better soon."
I wish I had time to relax,feeling stressed,"I'm sorry to hear that. I'm sure you have a lot going on right now. It can be hard to make time for yourself to unwind and relax, but it is crucial to a healthy balance in life. If you would like, I can help you destress with one of my coping activities. If you're interested, please press the coping activities button on the right side of the screen. I hope you can unwind and feel better soon."
